Command: lake env lean Audit.lean
Exit: 0
assert_no_sorry is silent on success. All 291 assertions passed:
PASS Aiyagari1994.Probes.State
PASS Aiyagari1994.Probes.ValueSpace
PASS Aiyagari1994.Probes.CompactInterval
PASS Aiyagari1994.Probes.value_complete
PASS Aiyagari1994.Probes.sup_distance
PASS Aiyagari1994.Probes.state_complete
PASS Aiyagari1994.Probes.state_separable
PASS Aiyagari1994.Probes.state_borel
PASS Aiyagari1994.Probes.state_measurable_id
PASS Aiyagari1994.Probes.banach_on_values
PASS Aiyagari1994.Probes.zero_contraction
PASS Aiyagari1994.Probes.zero_fixed_point
PASS Aiyagari1994.Probes.bounded_test_integrable
PASS Aiyagari1994.Probes.pushforward_test
PASS Aiyagari1994.Probes.kernel_composition
PASS Aiyagari1994.Probes.kernel_identity
PASS Aiyagari1994.Probes.kernel_transport
PASS Aiyagari1994.Probes.deterministic_markov
PASS Aiyagari1994.Probes.transport_mass
PASS Aiyagari1994.Probes.weak_test_convergence
PASS Aiyagari1994.Probes.compact_interval_laws
PASS Aiyagari1994.Probes.individual_law_tight
PASS Aiyagari1994.Probes.tight_family_compact
PASS Aiyagari1994.Probes.extended_zero_value
PASS Aiyagari1994.effectiveLimit
PASS Aiyagari1994.naturalLimit
PASS Aiyagari1994.effectiveLimit_nonneg
PASS Aiyagari1994.effectiveLimit_income_nonneg
PASS Aiyagari1994.effectiveLimit_eq_max
PASS Aiyagari1994.effectiveLimit_continuous
PASS Aiyagari1994.effectiveLimit_zero_neighborhood
PASS Aiyagari1994.naturalLimit_nonneg
PASS Aiyagari1994.naturalLimit_intercept
PASS Aiyagari1994.naturalLimit_income
PASS Aiyagari1994.naturalLimit_income_nonneg
PASS Aiyagari1994.naturalLimit_continuous
PASS Aiyagari1994.finiteCapPrices
PASS Aiyagari1994.naturalCapPrices
PASS Aiyagari1994.generated_resources_admissible
PASS Aiyagari1994.effectiveLimit_admissible_continuous
PASS Aiyagari1994.shifted_budget_equality_iff
