'Aiyagari1994.rightMarginalValue_eq_sSup_secants' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.rightMarginalValue_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.zeroRightMarginal_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.rightMarginalValue_properties' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.marginalStep' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.marginalStep_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.marginalStep_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.marginalStep_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.tendsto_add_marginalStep_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.extendedRightMarginalValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.extendedRightMarginalValue_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.extendedRightMarginalValue_of_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.extendedRightMarginalValue_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.value_extraSaving_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.transitionSecant_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.secant_extraSaving_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.secant_extraSaving_lintegral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.extendedRightMarginalValue_superharmonic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.continuationMarginal_lintegral_lt_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'Aiyagari1994.rightMarginalValue_superharmonic' depends on axioms: [propext, Classical.choice, Quot.sound]
